Company,TypeName,Inches,Ram,OpSys,Weight,SSD,HDD,Flash,Hybrid,Cpu_Brand,Cpu_Model,Cpu_ClockSpeed,Gpu_Brand,Gpu_Series,Gpu_Model,ScreenType,ScreenWidth,Touchscreen,Price
Apple,Ultrabook,13.3,8,macOS,1.35,0,0,256,0,Intel,Other,1.6,Intel,HD,Other,Other,1440,False,53173.44
Lenovo,Notebook,14.0,4,Windows,1.44,0,0,64,0,Intel,Celeron Dual Core,1.1,Intel,HD,Graphics 500,Other,1366,False,13266.72
Acer,Notebook,15.6,4,Linux,2.1,0,1024,0,0,Intel,Core i3,2.7,Intel,HD,Graphics 620,Other,1366,False,19553.76
Dell,Notebook,17.3,8,Windows,2.8,128,1024,0,0,Intel,Core i5,1.6,AMD,Radeon,530,IPS Display,1920,False,52161.12
HP,Notebook,15.6,4,Windows,1.86,0,1024,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Other,1366,False,26037.4032
HP,Notebook,15.6,8,Windows,2.1,256,0,0,0,Intel,Core i5,1.6,Nvidia,GeForce,930MX,Standard Display,1920,False,46833.12
Asus,Notebook,15.6,4,Linux,2.0,0,1024,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 620,Standard Display,1920,False,20725.92
Dell,Gaming,15.6,16,Windows,2.65,256,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1060,IPS Display,1920,False,79866.72
Asus,Notebook,15.6,8,Linux,2.3,0,1024,0,0,Intel,Core i5,2.5,Nvidia,GeForce,940MX,Other,1366,False,27864.9072
Acer,Notebook,15.6,4,Windows,2.2,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,False,36336.96
Dell,2 in 1 Convertible,17.3,12,Windows,2.77,0,1024,0,0,Intel,Core i5,1.6,Nvidia,GeForce,Other,Standard Display,1920,True,53226.72
Apple,Ultrabook,13.3,8,macOS,1.37,256,0,0,0,Intel,Other,2.0,Intel,Iris,Other,IPS Display,2560,False,75604.31999999999
Lenovo,Notebook,15.6,4,No OS,2.2,128,0,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Other,1366,False,19660.32
Asus,Gaming,17.3,8,Windows,3.2,256,1024,0,0,AMD,Other,3.0,AMD,Radeon,Other,Standard Display,1920,False,69210.72
Dell,Notebook,15.6,4,Windows,2.3,256,0,0,0,Intel,Core i5,2.5,AMD,Radeon,R5 M430,Standard Display,1920,False,34045.92
Asus,Notebook,17.3,4,Windows,2.8,0,1024,0,0,Intel,Other,1.1,Nvidia,GeForce,920MX,Other,1366,False,24828.48
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,0,0,64,0,Intel,Other,1.44,Intel,HD,Graphics 400,IPS Display,1920,True,16996.32
Acer,Notebook,15.6,8,Windows,2.2,256,0,0,0,Intel,Core i7,1.8,Nvidia,GeForce,MX150,IPS Display,1920,False,44808.48
HP,Notebook,15.6,4,Windows,1.86,256,0,0,0,AMD,Other,2.5,AMD,Radeon,Other,Standard Display,1920,False,21231.5472
HP,Notebook,13.3,8,Windows,1.49,512,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Standard Display,1920,False,58767.84
Acer,Notebook,15.6,4,Windows,2.4,0,1024,0,0,Intel,Core i3,2.4,Intel,HD,Graphics 620,Other,1366,False,20459.52
Dell,Notebook,15.6,8,Windows,2.13,256,0,0,0,Intel,Core i7,1.8,AMD,Radeon,520,Standard Display,1920,False,40908.384
HP,Notebook,15.6,4,Windows,1.91,128,0,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Standard Display,1920,False,23389.92
Asus,Notebook,15.6,4,Windows,2.0,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Other,1366,False,31232.203200000004
MSI,Gaming,17.3,16,Windows,2.43,256,2048,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1070,Standard Display,1920,False,130482.72
Asus,Notebook,15.6,4,Linux,2.0,256,0,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Standard Display,1920,False,22111.2
Dell,Notebook,17.3,16,Windows,2.8,256,2048,0,0,Intel,Core i7,1.8,AMD,Radeon,530,Standard Display,1920,False,69210.72
Dell,Ultrabook,14.0,8,Windows,1.7,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,Standard Display,1920,False,46833.12
Lenovo,Notebook,14.0,8,No OS,1.7,256,0,0,0,Intel,Core i3,2.7,Intel,HD,Graphics 620,IPS Display,1920,False,31914.72
Asus,Notebook,14.0,8,Windows,1.4,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,Standard Display,1920,False,50136.48
HP,Notebook,15.6,8,Windows,1.86,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Standard Display,1920,False,36763.2
Asus,Ultrabook,15.6,16,Windows,1.8,512,0,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050 Ti,Standard Display,1920,False,105654.24
HP,Notebook,15.6,4,Windows,1.86,0,500,0,0,Intel,Core i3,2.0,AMD,Radeon,520,Other,1366,False,23373.4032
HP,Notebook,14.0,4,Windows,1.44,32,0,0,0,Intel,Celeron Dual Core,1.6,Intel,HD,Graphics 400,Other,1366,False,12201.12
Lenovo,Notebook,15.6,4,Windows,1.9,0,1024,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Standard Display,1920,False,29250.72
Asus,Gaming,17.3,12,Linux,3.0,0,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050 Ti,Standard Display,1920,False,50562.72
Microsoft,Ultrabook,13.5,4,Windows,1.252,128,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Touchscreen Display,2256,True,58021.92
Dell,Ultrabook,13.3,8,Windows,1.4,256,0,0,0,Intel,Core i7,1.8,AMD,Radeon,530,IPS Display,1920,False,50882.4
Dell,Notebook,15.6,8,Windows,2.2,256,0,0,0,Intel,Core i7,1.8,AMD,Radeon,530,Standard Display,1920,False,46353.6
MSI,Gaming,17.3,8,Windows,2.7,128,1024,0,0,Intel,Core i5,2.5,Nvidia,GeForce,GTX 1050,Standard Display,1920,False,58341.6
Acer,Notebook,14.0,8,Windows,2.1,0,1024,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Other,1366,False,20725.92
Asus,Gaming,15.6,8,Windows,2.2,0,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050,Standard Display,1920,False,50562.72
Lenovo,Notebook,15.6,8,No OS,2.2,0,2048,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Standard Display,1920,False,27652.32
Dell,Notebook,15.6,8,Windows,2.02,128,1024,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Standard Display,1920,False,45554.4
Acer,Notebook,15.6,4,Windows,2.2,0,1024,0,0,Intel,Core i3,2.7,Nvidia,GeForce,Other,Standard Display,1920,False,28238.4
HP,Notebook,17.3,8,Windows,2.5,128,1024,0,0,Intel,Core i5,1.6,Nvidia,GeForce,930MX,Standard Display,1920,False,52054.56
Dell,Ultrabook,15.6,8,Windows,1.88,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,False,58403.4048
Apple,Ultrabook,12.0,8,macOS,0.92,512,0,0,0,Intel,Other,1.3,Intel,HD,Graphics 615,IPS Display,2304,False,80452.8
HP,Notebook,14.0,8,Windows,1.63,256,0,0,0,Intel,Core i5,1.6,Intel,HD,Graphics 620,Standard Display,1920,False,45820.8
Lenovo,Notebook,15.6,4,Windows,2.2,128,0,0,0,AMD,Other,2.5,AMD,R4,Graphics,Standard Display,1920,False,21258.72
Acer,Notebook,15.6,4,Windows,2.1,0,1024,0,0,AMD,Other,3.0,AMD,Radeon,R5,Other,1366,False,21045.6
Dell,Gaming,15.6,16,Windows,2.65,128,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050 Ti,IPS Display,1920,False,71874.72
HP,Ultrabook,15.6,8,Windows,1.83,256,0,0,0,Intel,Core i7,1.8,Nvidia,GeForce,Other,IPS Display,1920,False,37242.72
HP,Notebook,15.6,8,Windows,1.96,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Standard Display,1920,False,31914.1872
Asus,Gaming,15.6,16,Windows,2.2,128,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1060,IPS Display,1920,False,77202.72
Dell,Ultrabook,13.3,8,Windows,1.21,256,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,IPS Display,1920,False,87858.72
Asus,Gaming,15.6,8,Windows,2.45,0,1024,0,0,AMD,Other,3.0,AMD,Radeon,Other,Standard Display,1920,False,37242.72
Acer,Notebook,15.6,8,Windows,2.2,0,1024,0,0,Intel,Core i7,1.8,Nvidia,GeForce,MX150,Standard Display,1920,False,36709.92
HP,Notebook,13.3,16,Windows,1.49,512,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Standard Display,1920,False,63776.16
Dell,Gaming,15.6,8,Windows,2.65,256,0,0,0,Intel,Core i5,2.5,Nvidia,GeForce,GTX 1060,Standard Display,1920,False,63669.6
Asus,Ultrabook,14.0,8,Windows,1.25,256,0,0,0,Intel,Core i7,2.7,Intel,HD,Graphics 620,Standard Display,1920,False,55890.72
Acer,2 in 1 Convertible,13.3,8,Windows,1.5,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,True,45128.16
Dell,Notebook,15.6,8,Linux,2.2,0,1024,0,0,Intel,Core i7,2.7,AMD,Radeon,R5 M430,Standard Display,1920,False,31962.672
Dell,Notebook,15.6,4,Linux,2.2,256,0,0,0,Intel,Core i3,2.0,AMD,Radeon,R5 M430,Standard Display,1920,False,25840.8
Asus,Notebook,15.6,6,Windows,2.0,256,0,0,0,Intel,Core i3,2.4,Nvidia,GeForce,Other,Standard Display,1920,False,30742.56
HP,Gaming,15.6,12,Windows,2.62,128,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050,IPS Display,1920,False,66546.72
HP,Notebook,15.6,8,Windows,1.91,256,0,0,0,Intel,Core i7,2.7,AMD,Radeon,530,Standard Display,1920,False,38308.32
HP,Notebook,15.6,4,Windows,2.1,0,500,0,0,AMD,Other,1.5,AMD,Radeon,Other,Standard Display,1920,False,18594.72
Dell,Notebook,15.6,8,Linux,2.2,0,1024,0,0,Intel,Core i5,1.6,AMD,Radeon,520,Standard Display,1920,False,34472.16
HP,Ultrabook,13.3,8,Windows,1.38,256,0,0,0,Intel,Core i7,2.7,Nvidia,GeForce,MX150,IPS Display,1920,False,59620.32
Microsoft,Ultrabook,13.5,8,Windows,1.252,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Touchscreen Display,2256,True,71395.2
HP,Notebook,14.0,6,Windows,1.58,256,0,0,0,Intel,Core i5,2.5,Nvidia,GeForce,940MX,IPS Display,1920,False,35111.52
Lenovo,Notebook,15.6,4,Windows,1.85,0,1024,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Standard Display,1920,False,22105.872
Asus,Ultrabook,14.0,8,Windows,1.3,256,0,0,0,Intel,Core i7,2.7,Nvidia,GeForce,940MX,IPS Display,1920,False,63563.04
MSI,Gaming,15.6,16,Windows,2.2,256,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050 Ti,Standard Display,1920,False,69210.72
Lenovo,Notebook,14.0,8,Windows,1.58,256,0,0,0,Intel,Core i7,2.7,Intel,HD,Graphics 620,IPS Display,1920,False,78854.4
Asus,Ultrabook,15.6,16,Windows,1.5,256,1024,0,0,Intel,Core i7,1.8,Nvidia,GeForce,MX150,Standard Display,1920,False,67239.36
Dell,Ultrabook,13.3,8,Windows,1.23,256,0,0,0,Intel,Core i7,2.4,Intel,Iris,Other,Touchscreen Display,3200,True,73473.12
Lenovo,2 in 1 Convertible,13.3,8,Windows,1.37,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,IPS Display,1920,True,74538.72
HP,Notebook,14.0,4,Windows,1.63,0,500,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1366,False,38468.16
Dell,Ultrabook,13.3,8,Windows,1.21,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,False,86793.12
HP,2 in 1 Convertible,13.3,8,Windows,1.26,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,True,74538.1872
HP,Notebook,14.0,8,Windows,1.63,512,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Standard Display,1920,False,57755.52
Dell,Notebook,15.6,8,Windows,2.16,256,1024,0,0,Intel,Core i7,1.8,Nvidia,GeForce,940MX,IPS Display,1920,False,60223.98239999999
Asus,Notebook,17.3,4,Windows,2.0,0,1024,0,0,Intel,Core i3,2.0,Nvidia,GeForce,920MX,Standard Display,1920,False,30049.92
Asus,Notebook,15.6,8,Windows,1.7,256,0,0,0,Intel,Core i7,1.8,Nvidia,GeForce,940MX,Standard Display,1920,False,59567.04
Acer,Notebook,15.6,6,Windows,2.1,0,1024,0,0,Intel,Core i3,2.4,Intel,HD,Graphics 620,IPS Display,1920,True,25521.12
MSI,Gaming,15.6,16,Windows,1.8,256,2048,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1070,Standard Display,1920,False,119427.12
Lenovo,Notebook,15.6,8,No OS,2.2,256,0,0,0,Intel,Core i5,2.5,Nvidia,GeForce,940MX,Standard Display,1920,False,33513.119999999995
HP,Notebook,17.3,16,Windows,2.5,512,0,0,0,Intel,Core i7,1.8,Nvidia,GeForce,930MX,Standard Display,1920,False,67718.88
Acer,Notebook,15.6,4,Windows,2.1,256,0,0,0,AMD,Other,3.0,AMD,Radeon,R5,Other,1366,False,24029.28
HP,Notebook,15.6,4,No OS,1.86,0,500,0,0,Intel,Celeron Dual Core,1.6,Intel,HD,Graphics 400,Other,1366,False,13799.52
HP,Notebook,14.0,8,Windows,1.63,0,1024,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,Standard Display,1920,False,43263.36
Asus,Notebook,14.0,4,Windows,1.65,64,0,0,0,AMD,Other,1.5,AMD,Radeon,Other,Other,1366,False,14811.3072
Dell,Notebook,17.3,16,Windows,2.8,256,2048,0,0,Intel,Core i7,1.8,AMD,Radeon,530,Standard Display,1920,False,74378.87999999999
HP,Notebook,17.3,8,Windows,2.5,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,Standard Display,1920,False,49443.84
Dell,Notebook,15.6,8,Windows,2.36,0,1024,0,0,Intel,Core i5,2.5,AMD,Radeon,R7 M445,Other,1366,False,34045.3872
Dell,Notebook,15.6,4,Windows,2.2,0,1024,0,0,Intel,Core i3,2.0,AMD,Radeon,R5 M430,Standard Display,1920,False,23922.72
Acer,Ultrabook,14.0,8,Windows,1.6,256,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,IPS Display,1920,False,47099.52
Acer,Notebook,15.6,4,Windows,2.2,256,0,0,0,Intel,Core i3,2.7,Nvidia,GeForce,Other,Standard Display,1920,False,30476.16
HP,Notebook,15.6,8,Windows,2.05,0,1024,0,0,Intel,Core i7,2.7,Intel,HD,Graphics 620,Other,1366,False,31861.44
HP,Notebook,14.0,8,Windows,1.63,256,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Standard Display,1920,False,52640.64
Lenovo,Notebook,15.6,4,No OS,1.9,0,1024,0,0,Intel,Celeron Dual Core,1.1,Intel,HD,Graphics 500,Other,1366,False,13445.7408
Asus,Gaming,17.3,8,Windows,3.0,128,1024,0,0,Intel,Core i5,2.5,Nvidia,GeForce,GTX 1050,Standard Display,1920,False,49976.64
Lenovo,Notebook,15.6,4,No OS,2.2,0,1024,0,0,Intel,Core i5,2.5,Nvidia,GeForce,920MX,Standard Display,1920,False,26586.72
HP,Notebook,13.3,4,Windows,1.32,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,IPS Display,1920,False,37242.72
Acer,Notebook,17.3,4,Windows,3.0,0,1024,0,0,Intel,Core i3,2.7,Nvidia,GeForce,Other,IPS Display,1920,False,34898.4
Lenovo,Notebook,14.0,8,Windows,1.75,256,0,0,0,Intel,Core i5,1.6,AMD,Radeon,Other,IPS Display,1920,False,59461.5456
Lenovo,Gaming,15.6,8,No OS,2.4,256,0,0,0,Intel,Core i7,2.8,Nvidia,GeForce,Other,IPS Display,1920,False,46300.32
Toshiba,Notebook,15.6,4,Windows,2.1,0,500,0,0,Intel,Core i5,2.3,Intel,HD,Graphics 520,Other,1366,False,32074.56
HP,Notebook,15.6,4,Windows,1.86,256,0,0,0,AMD,Other,2.5,AMD,Radeon,Other,Other,1366,False,19660.32
Asus,Ultrabook,14.0,8,Windows,1.25,256,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Standard Display,1920,False,58554.72
HP,Ultrabook,12.5,8,Windows,0.97,512,0,0,0,Intel,Other,1.2,Intel,HD,Graphics 515,IPS Display,3840,True,107305.92
Asus,Notebook,15.6,4,Windows,2.0,0,1024,0,0,Intel,Celeron Dual Core,1.1,Intel,HD,Graphics 500,Standard Display,1920,False,18328.32
MSI,Gaming,17.3,16,Windows,2.9,256,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1070,Standard Display,1920,False,108105.12
Acer,Notebook,15.6,4,Windows,2.1,0,1024,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Other,1366,False,23816.16
Dell,Gaming,15.6,16,Windows,2.56,512,0,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050,Standard Display,1920,False,66560.5728
Dell,Gaming,15.6,8,Windows,2.62,0,0,0,1024,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050,Standard Display,1920,False,47898.72
Lenovo,Notebook,15.6,4,Windows,1.9,128,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,Other,1366,False,26533.44
MSI,Gaming,17.3,16,Windows,2.8,256,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1060,Standard Display,1920,False,100699.2
HP,Ultrabook,14.0,4,Windows,1.48,256,0,0,0,Intel,Core i5,2.7,Intel,HD,Graphics 620,Standard Display,1920,False,57648.96
HP,Notebook,15.6,6,Windows,1.91,256,0,0,0,Intel,Core i5,1.6,AMD,Radeon,520,Standard Display,1920,False,32980.32
Lenovo,2 in 1 Convertible,14.0,4,Windows,1.74,256,0,0,0,Intel,Core i3,2.4,Intel,HD,Graphics 620,IPS Display,1920,True,33513.119999999995
Asus,2 in 1 Convertible,13.3,8,Windows,1.1,256,0,0,0,Intel,Core i5,1.6,Intel,HD,Graphics 620,Standard Display,1920,True,70063.2
Dell,2 in 1 Convertible,15.6,8,Windows,1.56,256,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,Standard Display,1920,True,55890.72
Toshiba,Notebook,15.6,4,Windows,2.1,0,500,0,0,Intel,Core i3,2.2,Intel,HD,Graphics 520,Other,1366,False,23816.16
Asus,Notebook,15.6,4,Windows,2.03,0,1024,0,0,AMD,Other,3.0,AMD,Radeon,Other,Other,1366,False,21471.84
Acer,Notebook,17.3,4,Windows,3.0,256,0,0,0,Intel,Core i5,1.6,Nvidia,GeForce,MX150,IPS Display,1920,False,42890.4
Dell,Notebook,15.6,8,Windows,2.13,256,0,0,0,Intel,Core i5,1.6,AMD,Radeon,520,Standard Display,1920,False,38787.84
Lenovo,Gaming,15.6,16,Windows,2.5,256,0,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050 Ti,IPS Display,1920,False,57489.12
Acer,Notebook,15.6,4,Windows,2.1,0,1024,0,0,Intel,Celeron Dual Core,1.1,Intel,HD,Graphics 500,Other,1366,False,18541.44
MSI,Gaming,15.6,16,Windows,2.4,256,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1060,IPS Display,1920,False,95850.72
Acer,Notebook,15.6,4,Windows,2.1,0,1024,0,0,Intel,Other,1.1,Intel,HD,Graphics 505,Other,1366,False,19367.8128
Dell,Gaming,15.6,8,Windows,2.56,128,1024,0,0,Intel,Core i7,2.8,Nvidia,GeForce,GTX 1050,Standard Display,1920,False,56502.9072
Acer,Notebook,17.3,8,Windows,3.0,256,0,0,0,Intel,Core i5,1.6,Nvidia,GeForce,MX150,IPS Display,1920,False,45501.12
HP,Notebook,13.3,4,Windows,1.49,0,500,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,1920,False,40173.12
Huawei,Ultrabook,13.0,8,Windows,1.05,256,0,0,0,Intel,Core i5,2.5,Intel,HD,Graphics 620,IPS Display,2160,False,71874.72
HP,Notebook,17.3,6,Windows,2.71,0,2048,0,0,Intel,Core i5,2.5,AMD,Radeon,520,IPS Display,1920,False,37242.72
Lenovo,Notebook,15.6,4,No OS,2.2,0,500,0,0,AMD,Other,2.9,AMD,Radeon,Other,Other,1366,False,16463.52
Toshiba,Notebook,15.6,4,Windows,2.0,0,500,0,0,Intel,Core i3,2.4,Intel,HD,Graphics 620,Other,1366,False,26053.92
HP,Notebook,17.3,8,Windows,2.5,256,0,0,0,Intel,Core i5,1.6,Nvidia,GeForce,930MX,Standard Display,1920,False,49177.44
Dell,Notebook,15.6,8,Windows,2.3,0,1024,0,0,Intel,Core i3,2.4,Intel,HD,Graphics 620,Other,1366,False,24455.52
Acer,Notebook,15.6,4,Windows,2.1,128,0,0,0,Intel,Core i3,2.0,Intel,HD,Graphics 520,Other,1366,False,23922.72
MSI,Gaming,18.4,32,Windows,4.4,512,1024,0,0,Intel,Core i7,2.9,Nvidia,GTX,Other,Standard Display,1920,False,149130.72
Lenovo,Notebook,15.6,8,Windows,1.9,128,1024,0,0,Intel,Core i5,2.5,AMD,Integrated,Other,Standard Display,1920,False,43316.64
HP,2 in 1 Convertible,13.3,8,Windows,1.29,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,IPS Display,3840,True,79866.72
Dell,Notebook,15.6,16,Linux,2.02,256,2048,0,0,Intel,Core i7,1.8,AMD,Radeon,530,Standard Display,1920,False,55890.72
Dell,Ultrabook,13.3,8,Windows,1.23,256,0,0,0,Intel,Core i5,1.6,Intel,UHD,Graphics 620,Standard Display,1920,False,74538.72
Lenovo,2 in 1 Convertible,13.9,16,Windows,1.4,512,0,0,0,Intel,Core i7,1.8,Intel,UHD,Graphics 620,IPS Display,3840,True,98514.72
